InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,10,202.8862,50143.31,203.8862,50,0,0,0.04,20.94444,2.20875,0.41875,800,
0.1,0,10,203.6512,50333.03,204.6512,50,0,0,0.04,20.51365,1.79125,0.56125,800,
0.2,0,10,204.78,50616.18,205.78,50,0,0,0.04,21.47233,2.195,0.5475,800,
0.3,0,10,212.1738,52452.61,213.1738,50,0,0,0.04,21.63707,2.25,0.4975,800,
0.4,0,10,211.6888,52328.86,212.6888,50,0,0,0.04,22.57826,2.05,0.53875,800,
0.5,0,10,208.27,51476.61,209.27,50,0,0,0.04,21.67653,1.895,0.41625,800,
0.6,0,10,205.6025,50817.71,206.6025,50,0,0,0.04,21.52302,2.165,0.43875,800,
0.7,0,10,210.6362,52067.3,211.6362,50,0,0,0.04,21.31166,1.60375,0.51875,800,
0.8,0,10,207.0988,51185.66,208.0988,50,0,0,0.04,20.41117,1.78125,0.50375,800,
0.9,0,10,208.16,51457.97,209.16,50,0,0,0.04,20.87918,2.095,0.5825,800,
InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,10,206.155,50951.43,207.155,50,0,0,0.04,18.65038,2.3525,0.45375,800,
0.1,0,10,203.9175,50396.68,204.9175,50,0,0,0.04,18.16464,2.18875,0.44875,800,
0.2,0,10,207.54,51296.39,208.54,50,0,0,0.04,18.35533,1.8975,0.59625,800,
0.3,0,10,206.9538,51145.97,207.9538,50,0,0,0.04,18.78912,2.3875,0.515,800,
0.4,0,10,210.415,52012.41,211.415,50,0,0,0.04,18.5079,1.47,0.4625,800,
0.5,0,10,203.4475,50275.32,204.4475,50,0,0,0.04,17.74603,2.13625,0.50125,800,
0.6,0,10,202.1975,49967.25,203.1975,50,0,0,0.04,17.64635,1.4625,0.56375,800,
0.7,0,10,200.9637,49660.41,201.9637,50,0,0,0.04,17.53593,2.7875,0.3525,800,
0.8,0,10,207.9775,51400.7,208.9775,50,0,0,0.04,18.6493,1.925,0.61875,800,
0.9,0,10,207.7063,51332.99,208.7063,50,0,0,0.04,18.99922,1.71875,0.485,800,
