W,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0.5,0,10,323.735,80568.4,324.735,50,0,0,0.04,38.82172,2.11375,0.35,800,
0.7,0,10,319.7013,79563.59,320.7013,50,0,0,0.04,36.93618,2.32375,0.5925,800,
0.9,0,10,312.5125,77778.91,313.5125,50,0,0,0.04,36.90517,1.70375,0.4875,800,
1.1,0,10,310.5775,77302.6,311.5775,50,0,0,0.04,36.77375,1.73875,0.53875,800,
1.3,0,10,310.4275,77268.48,311.4275,50,0,0,0.04,37.37346,1.49,0.425,800,
1.5,0,10,309.9063,77138.7,310.9063,50,0,0,0.04,36.35503,2.33375,0.47875,800,
1.7,0,10,311.1275,77443.53,312.1275,50,0,0,0.04,37.88849,2.17875,0.47875,800,
1.9,0,10,307.5825,76558.65,308.5825,50,0,0,0.04,36.63449,1.92125,0.53625,800,
2.1,0,10,302.4738,75283.95,303.4738,50,0,0,0.04,36.02786,1.5575,0.44625,800,
2.3,0,10,305.445,76023.48,306.445,50,0,0,0.04,37.32262,1.945,0.455,800,
2.5,0,10,305.5638,76052.38,306.5638,50,0,0,0.04,35.67441,2.15375,0.63125,800,
2.7,0,10,305.1288,75941.33,306.1288,50,0,0,0.04,35.70137,1.86,0.485,800,
2.9,0,10,305.1837,75954.22,306.1837,50,0,0,0.04,36.02731,1.8775,0.44125,800,
3.1,0,10,306.1638,76196.8,307.1638,50,0,0,0.04,35.40565,2.165,0.55625,800,
3.3,0,10,308.8275,76858.54,309.8275,50,0,0,0.04,35.09634,1.7525,0.4225,800,
3.5,0,10,309.1875,76946.16,310.1875,50,0,0,0.04,36.23714,1.87375,0.43625,800,
3.7,0,10,312.5025,77770.56,313.5025,50,0,0,0.04,35.50882,1.91375,0.5225,800,
3.9,0,10,314.9413,78375.99,315.9413,50,0,0,0.04,36.0389,1.7675,0.51625,800,
4.1,0,10,316.7838,78832.35,317.7838,50,0,0,0.04,35.24359,2.0875,0.38875,800,
4.3,0,10,319.1325,79414.12,320.1325,50,0,0,0.04,36.33403,1.77625,0.58625,800,
4.5,0,10,323.8138,80581.76,324.8138,50,0,0,0.04,37.24079,1.8075,0.58625,800,
4.7,0,10,330.6088,82271.87,331.6088,50,0,0,0.04,35.804,1.82375,0.50625,800,
4.9,0,10,338.6963,84287.83,339.6963,50,0,0,0.04,37.38931,1.865,0.435,800,
