Alpha,Beta,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,0,10,318.6537,79317.72,319.6537,50,0,0,0.04,41.44751,2.05125,0.5525,800,
0,0.1,0,10,313.9662,78148.91,314.9662,50,0,0,0.04,40.29755,2.57375,0.44375,800,
0,0.2,0,10,318.715,79329.52,319.715,50,0,0,0.04,39.40805,2.1225,0.54,800,
0,0.3,0,10,314.27,78219.98,315.27,50,0,0,0.04,39.55445,2.16,0.3375,800,
0,0.4,0,10,317.71,79077.09,318.71,50,0,0,0.04,40.5356,1.97375,0.36625,800,
0,0.5,0,10,317.7075,79073.47,318.7075,50,0,0,0.04,40.84072,1.83875,0.47875,800,
0,0.6,0,10,312.9612,77886.3,313.9612,50,0,0,0.04,39.1333,2.0525,0.475,800,
0,0.7,0,10,315.2425,78453.49,316.2425,50,0,0,0.04,39.94246,2.2175,0.435,800,
0,0.8,0,10,314.48,78261.5,315.48,50,0,0,0.04,38.76275,2.05,0.4775,800,
0,0.9,0,10,315.4125,78492.07,316.4125,50,0,0,0.04,39.46576,2.2075,0.58625,800,
0,1,0,10,320.3763,79726.63,321.3763,50,0,0,0.04,40.25298,2.1875,0.50375,800,
0.1,0,0,10,319.1688,79445.38,320.1688,50,0,0,0.04,40.65226,1.6175,0.395,800,
0.1,0.1,0,10,317.7925,79101.85,318.7925,50,0,0,0.04,40.37684,1.71125,0.49125,800,
0.1,0.2,0,10,316.6875,78825.6,317.6875,50,0,0,0.04,40.09182,1.91375,0.49125,800,
0.1,0.3,0,10,316.6675,78817.98,317.6675,50,0,0,0.04,39.60081,1.9925,0.34625,800,
0.1,0.4,0,10,314.0075,78152.9,315.0075,50,0,0,0.04,39.70498,2.38,0.4375,800,
0.1,0.5,0,10,315.8975,78621.62,316.8975,50,0,0,0.04,40.2918,2.4925,0.44125,800,
0.1,0.6,0,10,315.4262,78502.87,316.4262,50,0,0,0.04,39.80208,1.51875,0.4775,800,
0.1,0.7,0,10,317.1225,78923.69,318.1225,50,0,0,0.04,40.27597,1.5575,0.49625,800,
0.1,0.8,0,10,313.71,78068.53,314.71,50,0,0,0.04,39.21407,2.25125,0.41125,800,
0.1,0.9,0,10,317.1288,78918.05,318.1288,50,0,0,0.04,39.77276,1.58125,0.58625,800,
0.1,1,0,10,315.545,78521.09,316.545,50,0,0,0.04,40.27226,2.08375,0.4775,800,
0.2,0,0,10,316.7475,78842.15,317.7475,50,0,0,0.04,41.14194,2.09625,0.55,800,
0.2,0.1,0,10,318.3612,79242.23,319.3612,50,0,0,0.04,41.09562,1.6425,0.55375,800,
0.2,0.2,0,10,317.3575,78992.33,318.3575,50,0,0,0.04,39.59762,1.92625,0.56625,800,
0.2,0.3,0,10,315.72,78583.61,316.72,50,0,0,0.04,39.6944,1.90375,0.41875,800,
0.2,0.4,0,10,316.06,78664.89,317.06,50,0,0,0.04,40.42348,1.265,0.485,800,
0.2,0.5,0,10,312.4625,77765.47,313.4625,50,0,0,0.04,39.97813,2.31125,0.4575,800,
0.2,0.6,0,10,314.0837,78167.92,315.0837,50,0,0,0.04,39.62896,1.95125,0.46375,800,
0.2,0.7,0,10,313.6525,78057.85,314.6525,50,0,0,0.04,39.25063,1.93625,0.535,800,
0.2,0.8,0,10,316.7638,78831.03,317.7638,50,0,0,0.04,39.93487,1.9075,0.39125,800,
0.2,0.9,0,10,318.2238,79192.53,319.2238,50,0,0,0.04,40.22209,1.5625,0.5575,800,
0.2,1,0,10,319.4775,79501.45,320.4775,50,0,0,0.04,39.32616,2.0375,0.495,800,
0.3,0,0,10,317.8987,79128.67,318.8987,50,0,0,0.04,40.64196,2.085,0.44,800,
0.3,0.1,0,10,313.8975,78130.1,314.8975,50,0,0,0.04,40.1385,2.3825,0.455,800,
0.3,0.2,0,10,315.1237,78435.66,316.1237,50,0,0,0.04,39.36773,1.6075,0.64875,800,
0.3,0.3,0,10,317.6338,79060.39,318.6338,50,0,0,0.04,40.95671,2.19375,0.53375,800,
0.3,0.4,0,10,314.435,78259.27,315.435,50,0,0,0.04,40.51871,1.62625,0.4375,800,
0.3,0.5,0,10,314.9012,78374.45,315.9012,50,0,0,0.04,39.82632,1.735,0.385,800,
0.3,0.6,0,10,315.4775,78515.33,316.4775,50,0,0,0.04,39.57386,1.94875,0.5,800,
0.3,0.7,0,10,314.4612,78259.34,315.4612,50,0,0,0.04,39.10537,2.2825,0.48,800,
0.3,0.8,0,10,317.9287,79120.61,318.9287,50,0,0,0.04,39.4225,1.95,0.54125,800,
0.3,0.9,0,10,317.1737,78929.7,318.1737,50,0,0,0.04,40.72483,1.75,0.47375,800,
0.3,1,0,10,318.9738,79376.45,319.9738,50,0,0,0.04,39.83301,2.155,0.4675,800,
0.4,0,0,10,313.2625,77974.52,314.2625,50,0,0,0.04,39.83712,2.19125,0.53,800,
0.4,0.1,0,10,317.0363,78912.92,318.0363,50,0,0,0.04,39.60035,2.26375,0.5275,800,
0.4,0.2,0,10,317.9513,79140.1,318.9513,50,0,0,0.04,40.44328,1.965,0.505,800,
0.4,0.3,0,10,316.6237,78808.33,317.6237,50,0,0,0.04,40.38168,2.22625,0.47625,800,
0.4,0.4,0,10,318.3637,79238.98,319.3637,50,0,0,0.04,39.66448,2.6075,0.5225,800,
0.4,0.5,0,10,315.5575,78537.97,316.5575,50,0,0,0.04,39.19893,2.0225,0.6425,800,
0.4,0.6,0,10,312.7875,77844.15,313.7875,50,0,0,0.04,40.25894,1.99625,0.48875,800,
0.4,0.7,0,10,316.14,78676.97,317.14,50,0,0,0.04,39.80616,1.7775,0.47375,800,
0.4,0.8,0,10,317.1363,78923.27,318.1363,50,0,0,0.04,38.9111,1.47,0.4225,800,
0.4,0.9,0,10,321.2687,79950.53,322.2687,50,0,0,0.04,40.21312,1.9675,0.3625,800,
0.4,1,0,10,319.0038,79384.38,320.0038,50,0,0,0.04,39.20331,1.93,0.39125,800,
0.5,0,0,10,317.6088,79057.41,318.6088,50,0,0,0.04,40.21032,1.98625,0.45375,800,
0.5,0.1,0,10,319.2888,79474.52,320.2888,50,0,0,0.04,40.95157,1.57625,0.5125,800,
0.5,0.2,0,10,317.6225,79058.73,318.6225,50,0,0,0.04,40.82464,2.48375,0.52125,800,
0.5,0.3,0,10,317.74,79085.6,318.74,50,0,0,0.04,40.35367,1.80375,0.54375,800,
0.5,0.4,0,10,315.8337,78608.86,316.8337,50,0,0,0.04,39.81241,1.97375,0.62,800,
0.5,0.5,0,10,313.6212,78053.75,314.6212,50,0,0,0.04,38.87012,2.015,0.3875,800,
0.5,0.6,0,10,314.7563,78333.89,315.7563,50,0,0,0.04,40.40321,2.50875,0.47875,800,
0.5,0.7,0,10,316.235,78701.6,317.235,50,0,0,0.04,40.28903,1.94375,0.51625,800,
0.5,0.8,0,10,316.435,78748.53,317.435,50,0,0,0.04,39.39841,1.69875,0.48375,800,
0.5,0.9,0,10,314.3925,78236.95,315.3925,50,0,0,0.04,39.9179,2.23625,0.5875,800,
0.5,1,0,10,320.2588,79697.22,321.2588,50,0,0,0.04,39.90839,1.8825,0.54625,800,
0.6,0,0,10,319.2125,79456.86,320.2125,50,0,0,0.04,40.38903,1.51125,0.4,800,
0.6,0.1,0,10,313.17,77948.91,314.17,50,0,0,0.04,39.8836,2.3025,0.59375,800,
0.6,0.2,0,10,317.2588,78967.63,318.2588,50,0,0,0.04,40.70801,2.11375,0.53375,800,
