DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.1,0,10,157.167,38849.76,158.167,50,0,0,82.726,25522.11,22.49031,20.84197,3.475,0.965,1000,
0.2,0,10,154.463,38173.23,155.463,50,0,0,80.572,24674.3,22.49582,20.75843,3.778,0.936,1000,
0.3,0,10,154.604,38203.86,155.604,50,0,0,78.272,24673.82,21.48657,21.16575,4.059,1.012,1000,
0.4,0,10,152.83,37757.13,153.83,50,0,0,76.018,24130.96,21.62774,20.75267,4.365,0.977,1000,
0.5,0,10,150.997,37295.49,151.997,50,0,0,73.44,23593.32,22.15226,20.58023,4.496,0.799,1000,
0.6,0,10,150.294,37115.37,151.294,50,0,0,71.466,23403.96,22.68489,20.98362,4.216,1.148,1000,
0.7,0,10,148.857,36752.12,149.857,50,0,0,68.78,22896.32,20.96767,19.81985,4.175,0.961,1000,
0.8,0,10,149.609,36933.4,150.609,50,0,0,66.342,23138.3,21.34687,20.01846,4.189,1.171,1000,
0.9,0,10,147.544,36412.38,148.544,50,0,0,63.733,22467.64,20.0679,19.5467,3.678,0.963,1000,
1,0,10,146.714,36199.45,147.714,50,0,0,61.117,22288.35,21.66554,20.48208,4.392,0.875,1000,
1.1,0,10,146.304,36094.14,147.304,50,0,0,60.562,22079.24,19.52303,19.55249,4.392,0.954,1000,
1.2,0,10,147.714,36443.25,148.714,50,0,0,59.689,22583.4,21.63373,20.17035,3.617,0.933,1000,
1.3,0,10,146.872,36230.52,147.872,50,0,0,58.754,22323.19,21.3896,19.93665,3.798,0.985,1000,
1.4,0,10,146.148,36049.83,147.148,50,0,0,58.035,22065.85,20.3403,20.07181,4.036,0.959,1000,
1.5,0,10,146.585,36155.54,147.585,50,0,0,57.048,22203.26,20.55126,20.56047,4.272,1.056,1000,
1.6,0,10,145.865,35973.1,146.865,50,0,0,56.347,21957.54,19.71285,19.92317,4.393,0.871,1000,
1.7,0,10,146.45,36115.56,147.45,50,0,0,55.652,22194.52,21.29476,19.79147,3.632,0.936,1000,
1.8,0,10,147.106,36276.89,148.106,50,0,0,54.711,22382.92,21.16546,20.28175,4.327,1.12,1000,
1.9,0,10,145.294,35821.59,146.294,50,0,0,53.711,21835.44,20.83121,19.38241,3.838,0.833,1000,
10,0,10,153.487,37786.7,154.487,50,0,0,34.29,24496.82,25.12401,22.92187,4.462,0.981,1000,
2,0,10,146.216,36048.48,147.216,50,0,0,52.995,22112.47,20.9848,20.52575,3.706,0.887,1000,
2.1,0,10,145.749,35931.2,146.749,50,0,0,52.651,21992.53,21.39431,20.08207,3.642,0.994,1000,
2.2,0,10,145.657,35909.05,146.657,50,0,0,52.067,21934.82,20.66338,20.45733,3.841,1.027,1000,
2.3,0,10,145.464,35857.62,146.464,50,0,0,51.712,21839.26,19.69621,20.39023,4.186,0.897,1000,
2.4,0,10,146.506,36114.25,147.506,50,0,0,51.285,22177.47,20.49067,20.48553,3.786,1.132,1000,
2.5,0,10,146.077,36007.79,147.077,50,0,0,50.727,22061.82,20.75097,20.47789,3.362,1.064,1000,
2.6,0,10,146.332,36069.43,147.332,50,0,0,50.599,22132.3,20.64005,19.61263,4.019,0.96,1000,
2.7,0,10,146.081,36004.68,147.081,50,0,0,50.093,22018.37,19.64514,20.62186,3.875,1.056,1000,
2.8,0,10,145.893,35955.48,146.893,50,0,0,49.554,21977.86,20.01777,20.27124,4.051,1.032,1000,
2.9,0,10,145.638,35891.33,146.638,50,0,0,49.28,21954.01,21.25471,19.77255,4.374,0.973,1000,
3,0,10,145.781,35923.7,146.781,50,0,0,48.758,21964.72,20.50547,20.19282,4.885,1.064,1000,
3.1,0,10,145.764,35920.32,146.764,50,0,0,48.42,21922.52,19.5763,19.99046,3.87,0.934,1000,
3.2,0,10,146.793,36175.93,147.793,50,0,0,48.175,22272.4,20.73787,20.8251,4.415,0.97,1000,
3.3,0,10,145.803,35929.3,146.803,50,0,0,47.865,21986.23,20.86966,20.16395,4.02,1.126,1000,
3.4,0,10,145.528,35858.36,146.528,50,0,0,47.69,21883.92,20.34392,19.55648,4.578,1.12,1000,
3.5,0,10,146.079,35994.87,147.079,50,0,0,47.493,22073.93,21.02717,20.59789,4.061,0.889,1000,
3.6,0,10,146.099,35998.19,147.099,50,0,0,47.185,22083.95,21.12545,20.57576,3.79,1.008,1000,
3.7,0,10,146.606,36124.04,147.606,50,0,0,46.838,22183.51,19.90927,20.27211,3.599,0.92,1000,
3.8,0,10,147.295,36294.77,148.295,50,0,0,46.398,22525.96,23.13206,20.67612,4.226,0.95,1000,
3.9,0,10,146.281,36041.44,147.281,50,0,0,46.185,22123.51,20.79061,20.65282,4.132,1,1000,
4,0,10,146.243,36031.28,147.243,50,0,0,46.043,22098.61,20.45799,20.08239,4.454,0.894,1000,
4.1,0,10,146.177,36013.44,147.177,50,0,0,45.864,22107.03,21.1283,19.9563,3.986,1.066,1000,
4.2,0,10,147.335,36300.96,148.335,50,0,0,45.472,22484.99,21.9591,20.44873,3.73,0.96,1000,
4.3,0,10,146.734,36151.36,147.734,50,0,0,45.306,22301.81,21.83914,21.2065,3.895,0.989,1000,
4.4,0,10,147.422,36321.64,148.422,50,0,0,45.089,22480.35,21.25346,20.565,3.769,1.169,1000,
4.5,0,10,146.51,36092.86,147.51,50,0,0,44.795,22203.4,21.08655,20.26904,3.448,0.853,1000,
4.6,0,10,147.41,36316.82,148.41,50,0,0,44.644,22493.78,21.65,20.82043,3.887,0.99,1000,
4.7,0,10,146.594,36113.39,147.594,50,0,0,44.436,22224.44,20.99733,20.42992,3.387,0.923,1000,
4.8,0,10,147.303,36289.83,148.303,50,0,0,44.231,22427.74,20.84213,20.66604,3.795,0.966,1000,
4.9,0,10,146.927,36194.29,147.927,50,0,0,43.86,22305.89,20.58933,20.67697,3.57,0.892,1000,
5,0,10,147.944,36444.93,148.944,50,0,0,43.631,22638.11,21.31322,21.03993,4.248,0.98,1000,
5.1,0,10,146.977,36204.49,147.977,50,0,0,43.591,22346.45,21.20625,20.76458,4.222,0.935,1000,
5.2,0,10,147.889,36429.41,148.889,50,0,0,43.313,22630.7,21.52275,20.67553,4.31,0.982,1000,
5.3,0,10,147.258,36272.45,148.258,50,0,0,43.139,22428.93,21.18826,20.31506,4.159,0.981,1000,
5.4,0,10,147.957,36445.88,148.957,50,0,0,42.764,22652.57,21.56026,21.03972,3.503,0.966,1000,
5.5,0,10,147.895,36430.95,148.895,50,0,0,42.69,22614.49,21.1,20.81086,3.622,1.069,1000,
5.6,0,10,148.293,36527.4,149.293,50,0,0,42.756,22784.45,22.28337,22.01048,3.886,1.003,1000,
5.7,0,10,147.899,36428.56,148.899,50,0,0,42.299,22663.32,22.20128,21.2697,3.778,0.98,1000,
5.8,0,10,147.473,36322.8,148.473,50,0,0,42.116,22468.64,20.61138,20.26696,4.061,1.191,1000,
5.9,0,10,148.117,36480.52,149.117,50,0,0,42.042,22726.93,22.1707,21.17847,3.471,0.904,1000,
6,0,10,148.673,36620.01,149.673,50,0,0,41.775,22932.79,23.0503,20.93356,4.183,1.064,1000,
6.1,0,10,147.664,36368.14,148.664,50,0,0,41.467,22579.11,21.87692,20.75454,3.542,1.006,1000,
6.2,0,10,148.241,36511.3,149.241,50,0,0,41.433,22802.23,23.01916,21.12089,3.594,0.942,1000,
6.3,0,10,147.817,36404.23,148.817,50,0,0,41.203,22582.77,20.89745,20.94966,3.234,1.011,1000,
6.4,0,10,148.345,36535.07,149.345,50,0,0,40.892,22761.96,21.41232,21.27745,4.153,0.953,1000,
6.5,0,10,148.321,36530.28,149.321,50,0,0,40.662,22806.99,22.59955,21.63074,3.975,0.976,1000,
6.6,0,10,148.931,36678.57,149.931,50,0,0,40.536,23002.25,22.87953,21.18187,3.619,0.986,1000,
6.7,0,10,149.139,36732.35,150.139,50,0,0,40.345,23133.41,24.33682,21.15749,4.162,1.021,1000,
6.8,0,10,148.82,36648.87,149.82,50,0,0,40.24,22934.57,22.1139,21.53658,4.094,0.792,1000,
6.9,0,10,149.62,36846.91,150.62,50,0,0,39.682,23232.4,23.37863,21.88754,3.157,0.956,1000,
7,0,10,148.994,36690.61,149.994,50,0,0,39.809,22982.37,22.01496,21.39195,3.964,0.912,1000,
7.1,0,10,149.184,36738.14,150.184,50,0,0,39.828,23051.37,22.28522,21.20252,3.37,0.954,1000,
7.2,0,10,149.701,36864.04,150.701,50,0,0,39.298,23250.67,23.24683,21.44829,4.542,0.882,1000,
