InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0,0,10,152.951,37725.27,153.951,50,0,0,52.614,24236.49,23.15422,20.91121,3.673,0.889,1000,
0.01,0,10,152.706,37665.7,153.706,50,0,0,52.563,24166.75,23.27572,21.49058,4.033,0.779,1000,
0.02,0,10,153.599,37886.78,154.599,50,0,0,52.526,24496.89,24.42613,20.20974,4.612,1.101,1000,
0.03,0,10,153.421,37839.78,154.421,50,0,0,52.656,24412.76,23.82189,21.22597,3.935,0.876,1000,
0.04,0,10,153.073,37755.61,154.073,50,0,0,52.572,24344.36,24.62684,20.50907,3.537,0.797,1000,
0.05,0,10,152.164,37529.61,153.164,50,0,0,52.796,24021,23.71395,20.98603,3.075,0.88,1000,
0.06,0,10,150.66,37154.56,151.66,50,0,0,52.659,23447.3,21.14222,20.74693,4.262,0.951,1000,
0.07,0,10,152.979,37731.74,153.979,50,0,0,52.78,24366.65,25.64717,20.69338,3.936,1.057,1000,
0.08,0,10,152.873,37705.55,153.873,50,0,0,52.697,24252.78,24.00942,21.07733,3.303,1.047,1000,
0.09,0,10,152.805,37689.19,153.805,50,0,0,52.835,24240.82,24.19552,21.14538,3.761,0.926,1000,
0.1,0,10,151.754,37427.41,152.754,50,0,0,52.691,23868.06,23.12597,21.13485,3.856,1.066,1000,
0.11,0,10,152.068,37506.17,153.068,50,0,0,52.773,24007.68,24.05094,21.08462,3.874,0.981,1000,
0.12,0,10,151.811,37441.01,152.811,50,0,0,52.747,23945.29,24.38616,20.90904,4.098,0.928,1000,
0.13,0,10,152.406,37588.78,153.406,50,0,0,52.825,24154.54,24.93513,21.01051,3.831,0.93,1000,
0.14,0,10,151.881,37458.12,152.881,50,0,0,52.875,23933.52,23.69568,20.93781,3.945,0.901,1000,
0.15,0,10,151.97,37481.52,152.97,50,0,0,52.73,23922.79,22.87996,21.73944,4.316,1.053,1000,
0.16,0,10,151.235,37297.18,152.235,50,0,0,52.822,23673.81,22.33409,21.4145,4.066,1.091,1000,
0.17,0,10,151.419,37342.25,152.419,50,0,0,52.839,23758.53,22.96758,20.66673,3.139,1.02,1000,
0.18,0,10,150.985,37235.05,151.985,50,0,0,52.877,23610.13,22.60984,20.8823,4.327,0.959,1000,
0.19,0,10,150.315,37068.63,151.315,50,0,0,52.721,23372.99,21.84573,20.83566,3.793,0.967,1000,
0.2,0,10,151.946,37474.66,152.946,50,0,0,52.771,24000.89,24.67837,20.68101,4.115,0.918,1000,
0.21,0,10,151.385,37335.07,152.385,50,0,0,52.863,23792.51,23.91438,20.81791,4.411,1.032,1000,
0.22,0,10,150.486,37111.49,151.486,50,0,0,52.991,23423.6,21.81889,21.34576,4.06,0.971,1000,
0.23,0,10,150.252,37052.79,151.252,50,0,0,52.987,23389.41,22.64419,20.28713,4.275,1.067,1000,
0.24,0,10,150.58,37135.18,151.58,50,0,0,52.764,23444.51,21.64445,21.12317,3.752,1.022,1000,
0.25,0,10,150.247,37052.69,151.247,50,0,0,52.883,23424.37,23.43639,20.51843,3.3,0.872,1000,
0.26,0,10,150.139,37025.66,151.139,50,0,0,53.052,23351.29,22.55667,20.32214,4.026,1.013,1000,
0.27,0,10,148.55,36628.39,149.55,50,0,0,53.109,22863.55,22.33487,20.61165,3.675,1.063,1000,
0.28,0,10,149.522,36869.97,150.522,50,0,0,52.86,23126.42,21.67989,20.55415,4.024,0.965,1000,
0.29,0,10,148.315,36570.16,149.315,50,0,0,52.861,22767.28,21.74368,19.78559,3.436,0.997,1000,
0.3,0,10,148.791,36689.8,149.791,50,0,0,52.814,22873.67,20.89897,20.50986,4.013,0.878,1000,
0.31,0,10,149.764,36931.55,150.764,50,0,0,53.08,23263.74,23.11906,20.58224,4.119,0.921,1000,
0.32,0,10,148.199,36541.89,149.199,50,0,0,52.908,22800.72,23.25767,20.41837,4.055,0.947,1000,
0.33,0,10,148.956,36729.89,149.956,50,0,0,52.866,22975.88,22.12627,20.94701,4.722,0.97,1000,
0.34,0,10,149.8,36940.16,150.8,50,0,0,53.03,23278.26,23.19832,21.08398,3.691,1.022,1000,
