InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0,0,10,151.535,37372.9,152.535,50,0,0,52.709,23747.03,21.92214,21.20626,4.177,0.948,1000,
0.01,0,10,152.945,37725.39,153.945,50,0,0,52.662,24321.03,24.95179,21.11923,3.943,1.073,1000,
0.02,0,10,152.634,37646.4,153.634,50,0,0,52.483,24178.05,23.98369,20.07516,3.478,0.915,1000,
0.03,0,10,151.676,37408.22,152.676,50,0,0,52.577,23813.15,22.44314,20.45167,3.898,1.038,1000,
0.04,0,10,153.648,37897.5,154.648,50,0,0,52.708,24574.42,25.67246,21.45997,3.949,0.981,1000,
0.05,0,10,152.662,37653.89,153.662,50,0,0,52.558,24191.75,24.08987,21.01228,4.528,1.09,1000,
0.06,0,10,153.363,37827.05,154.363,50,0,0,52.805,24406.96,24.07488,21.677,3.526,0.956,1000,
0.07,0,10,152.235,37545.95,153.235,50,0,0,52.695,23999.93,22.79215,22.61116,4.184,1.083,1000,
0.08,0,10,152.253,37551.54,153.253,50,0,0,52.728,23989.08,22.43,20.02908,3.23,0.996,1000,
0.09,0,10,152.575,37631.46,153.575,50,0,0,52.656,24137.04,23.50131,20.86894,4.411,0.94,1000,
0.1,0,10,151.372,37330.7,152.372,50,0,0,52.537,23715.9,22.34218,21.21775,3.685,1.18,1000,
0.11,0,10,153.481,37856.23,154.481,50,0,0,52.793,24482.58,24.87612,20.92357,3.908,0.93,1000,
0.12,0,10,151.976,37482.14,152.976,50,0,0,52.839,23945.62,23.33478,20.26864,2.889,0.913,1000,
0.13,0,10,151.929,37469.81,152.929,50,0,0,52.711,23926.95,23.2424,21.30482,4.402,0.931,1000,
0.14,0,10,151.654,37402,152.654,50,0,0,52.777,23784.85,21.95646,21.02115,3.229,0.931,1000,
0.15,0,10,150.593,37136.75,151.593,50,0,0,52.99,23503.59,22.88406,20.76457,3.272,1.03,1000,
0.16,0,10,150.169,37032.88,151.169,50,0,0,52.772,23312.34,21.46472,20.99638,4.287,1.015,1000,
0.17,0,10,150.913,37218.29,151.913,50,0,0,52.791,23609.12,23.06713,20.70985,3.474,1.08,1000,
0.18,0,10,150.176,37034.54,151.176,50,0,0,52.72,23369.22,22.70587,20.33955,3.685,0.975,1000,
0.19,0,10,152.474,37603.46,153.474,50,0,0,52.889,24182.22,25.07146,21.21556,3.837,1.099,1000,
0.2,0,10,150.409,37091.59,151.409,50,0,0,52.975,23443.33,22.78508,19.69824,4.029,0.99,1000,
0.21,0,10,149.757,36930.9,150.757,50,0,0,52.866,23239.43,22.63341,20.33615,4.226,1.05,1000,
0.22,0,10,150.7,37165.17,151.7,50,0,0,52.679,23519.68,22.52317,21.32684,4.245,0.943,1000,
0.23,0,10,150.512,37117.67,151.512,50,0,0,52.935,23486.74,23.05188,20.36823,4.186,0.988,1000,
0.24,0,10,150.657,37153.14,151.657,50,0,0,52.857,23522.58,22.87487,20.28366,4.65,0.854,1000,
0.25,0,10,150.214,37042.97,151.214,50,0,0,53.126,23350.81,22.03687,21.36749,4.052,0.841,1000,
0.26,0,10,150.243,37052.02,151.243,50,0,0,52.933,23386.88,22.64831,20.42181,4.11,0.935,1000,
0.27,0,10,148.918,36718.47,149.918,50,0,0,53.104,22915.02,20.97745,20.17129,4.641,1.012,1000,
0.28,0,10,149.447,36852.38,150.447,50,0,0,52.988,23097.51,21.53313,19.76945,4.368,1.003,1000,
0.29,0,10,149.537,36874.7,150.537,50,0,0,53.013,23174.26,22.65796,20.95551,3.863,0.999,1000,
0.3,0,10,148.374,36584.93,149.374,50,0,0,52.712,22755.61,21.05848,19.92018,4.051,0.932,1000,
0.31,0,10,148.422,36598.64,149.422,50,0,0,52.992,22848.19,22.84254,21.17234,4.12,1.099,1000,
0.32,0,10,148.653,36655.95,149.653,50,0,0,52.835,22836.33,20.9941,20.43394,3.653,1.022,1000,
0.33,0,10,147.824,36449.02,148.824,50,0,0,53.055,22585.96,20.92402,20.39389,3.392,1.12,1000,
0.34,0,10,148.794,36691.46,149.794,50,0,0,53.24,22963.38,22.92726,19.51776,4.104,0.857,1000,
0.35,0,10,148.025,36498.07,149.025,50,0,0,53.16,22613.6,20.13849,20.53209,3.926,1.017,1000,
0.36,0,10,147.945,36478.11,148.945,50,0,0,53.049,22667.29,21.98086,19.79067,4.525,0.963,1000,
0.37,0,10,146.841,36203.46,147.841,50,0,0,53.044,22267.29,20.26666,20.18631,3.572,1.109,1000,
0.38,0,10,147.729,36425.39,148.729,50,0,0,53.016,22598.57,21.88002,20.41187,3.658,0.94,1000,
0.39,0,10,147.342,36328.21,148.342,50,0,0,53.141,22448.5,21.06178,20.85336,3.875,1.127,1000,
0.4,0,10,147.294,36314.45,148.294,50,0,0,53.219,22413.7,20.56717,20.51829,4.388,1.023,1000,
0.41,0,10,147.037,36252.48,148.037,50,0,0,53,22342.42,20.68552,20.67184,4.587,1.112,1000,
0.42,0,10,147.04,36253.63,148.04,50,0,0,53.071,22314.99,19.98864,20.81886,4.059,1.021,1000,
0.43,0,10,147.075,36262.55,148.075,50,0,0,53.071,22393.39,21.62531,19.54213,3.992,1.08,1000,
0.44,0,10,146.203,36045.1,147.203,50,0,0,53.211,22116.76,21.17752,20.27631,4.593,0.888,1000,
0.45,0,10,146.093,36017,147.093,50,0,0,53.137,22096.66,21.46551,21.0274,4.129,1.013,1000,
0.46,0,10,146.138,36029.15,147.138,50,0,0,53.079,22057.5,20.20676,20.08119,4.752,1.154,1000,
0.47,0,10,146.154,36033.36,147.154,50,0,0,53.149,22094.15,20.98306,20.37162,3.041,1.029,1000,
0.48,0,10,146.344,36079.82,147.344,50,0,0,53.029,22091.96,19.54712,20.04208,4.514,0.785,1000,
0.49,0,10,146.879,36214.32,147.879,50,0,0,53.024,22278.14,20.25714,19.85576,4.426,0.973,1000,
0.5,0,10,146.421,36100.05,147.421,50,0,0,53.177,22183.87,21.24543,19.41939,3.572,1.076,1000,
0.51,0,10,146.179,36039.68,147.179,50,0,0,53.234,22091.6,20.74542,20.47973,4.29,0.96,1000,
0.52,0,10,145.986,35992.23,146.986,50,0,0,52.923,22006.33,20.04609,19.68374,4.387,0.933,1000,
0.53,0,10,147.023,36249.71,148.023,50,0,0,53.169,22386.94,21.83131,19.98998,4.256,0.945,1000,
0.54,0,10,146.731,36175.31,147.731,50,0,0,53.049,22254.54,20.74903,19.96876,3.687,0.965,1000,
0.55,0,10,146.881,36214.17,147.881,50,0,0,53.006,22349.3,21.93141,20.43645,3.884,0.843,1000,
0.56,0,10,146.443,36106.64,147.443,50,0,0,52.961,22203.8,21.55974,20.14352,3.985,0.955,1000,
0.57,0,10,146.778,36188.34,147.778,50,0,0,52.867,22348.04,22.58794,20.40137,3.631,1.122,1000,
0.58,0,10,146.79,36191.33,147.79,50,0,0,52.85,22304.7,21.52401,20.28737,3.775,0.981,1000,
0.59,0,10,145.691,35919,146.691,50,0,0,52.662,21909.82,19.79799,19.06731,3.963,0.87,1000,
0.6,0,10,146.488,36113.71,147.488,50,0,0,52.927,22177.91,20.63074,19.55331,3.815,0.916,1000,
0.61,0,10,146.015,35998.36,147.015,50,0,0,52.512,22129.25,22.72352,19.4774,4.378,0.81,1000,
0.62,0,10,147.076,36262.8,148.076,50,0,0,52.731,22319.48,19.8337,20.11286,3.72,1.039,1000,
0.63,0,10,147.324,36326.65,148.324,50,0,0,52.755,22488.73,22.11814,20.64821,3.931,1.198,1000,
0.64,0,10,146.495,36119.2,147.495,50,0,0,52.58,22227.15,21.74502,20.96171,3.918,1.097,1000,
0.65,0,10,145.817,35949.28,146.817,50,0,0,52.732,22011.61,21.37371,19.23758,3.907,0.846,1000,
0.66,0,10,146.677,36165.18,147.677,50,0,0,52.555,22246.12,20.93002,20.5614,4.52,0.931,1000,
0.67,0,10,145.777,35942.02,146.777,50,0,0,52.668,22000.28,21.3833,19.81407,3.419,0.929,1000,
0.68,0,10,147.01,36248.51,148.01,50,0,0,52.4,22317.42,20.2699,19.20531,4.135,1.005,1000,
0.69,0,10,147.244,36304.75,148.244,50,0,0,52.484,22408.66,20.80407,20.28306,4.188,1.161,1000,
0.7,0,10,147.974,36487.95,148.974,50,0,0,52.213,22740.8,23.41144,20.19725,3.895,0.981,1000,
0.71,0,10,146.402,36097.23,147.402,50,0,0,52.351,22125.03,19.95196,19.97757,3.715,1.048,1000,
0.72,0,10,147.066,36262.01,148.066,50,0,0,52.228,22354.56,20.77145,19.50363,3.989,0.946,1000,
0.73,0,10,147.08,36263.74,148.08,50,0,0,52.176,22372.7,21.1059,19.78598,3.947,0.964,1000,
0.74,0,10,147.155,36284.76,148.155,50,0,0,52.056,22394.75,21.10188,20.44872,4.026,1.024,1000,
0.75,0,10,148.402,36594.45,149.402,50,0,0,51.741,22782.41,21.49214,20.58356,4.011,0.942,1000,
0.76,0,10,147.017,36249.88,148.017,50,0,0,51.953,22345.1,20.89278,19.473,4.114,0.997,1000,
0.77,0,10,147.67,36413.99,148.67,50,0,0,51.847,22531.76,20.72247,21.14345,4.156,0.949,1000,
0.78,0,10,148.012,36498.68,149.012,50,0,0,51.722,22680.3,21.82205,19.71698,3.66,1.114,1000,
0.79,0,10,147.887,36466.29,148.887,50,0,0,51.603,22565.91,19.97429,20.3129,3.521,0.965,1000,
0.8,0,10,148.579,36639.64,149.579,50,0,0,51.509,22867.53,22.22937,20.62426,4.381,1.104,1000,
0.81,0,10,147.855,36458.1,148.855,50,0,0,51.491,22589.55,20.78868,20.4597,4.116,0.826,1000,
0.82,0,10,148.179,36540.44,149.179,50,0,0,51.657,22695.8,21.02065,21.24867,3.598,0.972,1000,
0.83,0,10,148.367,36585.85,149.367,50,0,0,51.415,22711.1,20.02489,19.70724,3.738,0.882,1000,
0.84,0,10,148.59,36644,149.59,50,0,0,51.435,22825.92,21.19427,21.32236,3.546,0.984,1000,
0.85,0,10,148.382,36592.41,149.382,50,0,0,51.155,22795.5,21.9316,20.01686,3.992,0.899,1000,
0.86,0,10,149.251,36809.28,150.251,50,0,0,50.969,23051.53,21.83221,20.70378,3.678,0.874,1000,
0.87,0,10,149.762,36936.49,150.762,50,0,0,50.807,23224.72,22.27176,20.48883,4.246,0.979,1000,
0.88,0,10,149.595,36896.26,150.595,50,0,0,50.882,23182.68,22.45721,20.32195,4.294,0.927,1000,
0.89,0,10,150.225,37051.18,151.225,50,0,0,50.744,23346.43,21.86105,20.37073,3.928,1.041,1000,
0.9,0,10,150.194,37041.93,151.194,50,0,0,50.539,23280.94,20.53631,20.57507,3.49,0.852,1000,
0.91,0,10,150.847,37204.32,151.847,50,0,0,50.408,23514.85,21.39613,20.23872,3.657,0.876,1000,
0.92,0,10,150.551,37130.46,151.551,50,0,0,50.632,23424.94,21.39383,20.64901,3.942,1.013,1000,
0.93,0,10,150.45,37108.11,151.45,50,0,0,50.17,23359.69,20.56727,21.5283,4.532,0.958,1000,
0.94,0,10,151.764,37433.23,152.764,50,0,0,50.108,23790.42,21.30808,21.3649,3.286,0.966,1000,
0.95,0,10,152.431,37598.15,153.431,50,0,0,50.051,24031.13,22.14843,21.08378,3.864,0.977,1000,
0.96,0,10,152.822,37694.99,153.822,50,0,0,49.96,24153.32,22.19471,21.1098,4.727,1.051,1000,
0.97,0,10,153.153,37774.89,154.153,50,0,0,49.821,24277.29,22.68601,21.4285,3.533,1.009,1000,
0.98,0,10,154.546,38119.43,155.546,50,0,0,49.792,24679.4,22.03019,21.30159,4.234,0.925,1000,
0.99,0,10,155.369,38318.72,156.369,50,0,0,49.748,24954,22.4329,21.28677,4.249,0.984,1000,
1,0,10,156.022,38482.18,157.022,50,0,0,49.977,25137.55,21.95727,21.86778,4.331,1.112,1000,
