InitialInertiaState,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.99,0,10,183.965,44607.62,184.965,50,0,0,91.769,34944.44,27.07623,25.61133,3.863,0.933,1000,
0.9901,0,10,184.54,44758.48,185.54,50,0,0,91.783,35303.05,29.64516,25.76563,3.744,0.952,1000,
0.9902,0,10,184.107,44653.71,185.107,50,0,0,91.078,34988.04,26.91035,25.53103,4.095,1.089,1000,
0.9903,0,10,183.403,44489.74,184.403,50,0,0,90.666,34768.71,27.6589,26.02139,4.125,0.847,1000,
0.9904,0,10,183.513,44516.23,184.513,50,0,0,90.666,34857.82,28.52337,25.54462,4.53,0.727,1000,
0.9905,0,10,184.625,44805.5,185.625,50,0,0,90.055,35260.34,28.36385,26.1449,3.878,1.003,1000,
0.9906,0,10,183.762,44593.13,184.762,50,0,0,90.214,34979.91,29.0476,26.0533,4.005,1.014,1000,
0.9907,0,10,183.212,44465.05,184.212,50,0,0,89.615,34691.48,27.53494,24.95993,3.851,0.843,1000,
0.9908,0,10,182.255,44229.34,183.255,50,0,0,89.944,34326.66,27.29494,25.37218,4.289,1.09,1000,
0.9909,0,10,182.617,44334.71,183.617,50,0,0,89.433,34483.15,27.72577,25.22452,4.088,1.081,1000,
0.991,0,10,183.735,44611.54,184.735,50,0,0,89.088,34912.73,28.04465,25.78309,4.561,0.86,1000,
0.9911,0,10,181.094,43965.06,182.094,50,0,0,88.728,33768.05,24.70695,24.73647,4.001,0.974,1000,
0.9912,0,10,181.681,44111.47,182.681,50,0,0,88.813,34052.7,26.09661,25.25313,3.827,0.987,1000,
0.9913,0,10,183.018,44448.73,184.018,50,0,0,88.413,34646.16,28.00564,26.23244,4.085,0.938,1000,
0.9914,0,10,182.984,44451.46,183.984,50,0,0,87.948,34686.39,28.93297,25.45096,4.321,1.012,1000,
0.9915,0,10,182.482,44329.58,183.482,50,0,0,88.181,34453.2,28.07747,25.63729,3.421,1.166,1000,
0.9916,0,10,181.656,44133.01,182.656,50,0,0,87.256,34093.95,27.04568,24.5096,4.497,0.954,1000,
0.9917,0,10,181.863,44192.3,182.863,50,0,0,87.344,34286.05,29.12077,25.9856,3.509,1.085,1000,
0.9918,0,10,181.662,44140,182.662,50,0,0,87.322,34079.93,26.74392,25.02504,4.133,1.085,1000,
0.9919,0,10,180.985,43988.64,181.985,50,0,0,86.938,33827.26,26.63511,26.12244,4.208,0.869,1000,
0.992,0,10,181.323,44079.2,182.323,50,0,0,86.408,34001.86,27.58515,26.44769,4.177,0.956,1000,
0.9921,0,10,181.617,44148.29,182.617,50,0,0,86.311,34053.37,26.5538,25.21898,3.908,0.978,1000,
0.9922,0,10,181.97,44245.71,182.97,50,0,0,85.815,34300.19,28.68787,25.93905,3.813,1.057,1000,
0.9923,0,10,181.356,44102.7,182.356,50,0,0,85.856,34102.53,29.14911,26.27937,3.599,0.896,1000,
0.9924,0,10,179.7,43698.03,180.7,50,0,0,85.327,33389.7,27.16523,24.19477,3.799,1.097,1000,
0.9925,0,10,181.76,44212.01,182.76,50,0,0,85.438,34180.01,27.92078,25.08842,2.801,0.924,1000,
0.9926,0,10,180.029,43789.06,181.029,50,0,0,85.19,33498.44,26.97526,24.9379,3.687,0.929,1000,
0.9927,0,10,180.112,43815.67,181.112,50,0,0,84.581,33532.81,27.05523,24.78798,4.012,1.095,1000,
0.9928,0,10,180.617,43950.27,181.617,50,0,0,84.111,33748.48,27.6497,25.43038,4.269,0.904,1000,
0.9929,0,10,180.565,43939.85,181.565,50,0,0,84.05,33779.07,28.5314,26.98604,3.962,0.939,1000,
0.993,0,10,179.046,43570.18,180.046,50,0,0,83.496,33081.61,25.80146,25.37801,4.357,0.876,1000,
0.9931,0,10,178.816,43521.37,179.816,50,0,0,83.383,33053.2,26.83517,25.7633,3.725,0.852,1000,
0.9932,0,10,180.12,43854.11,181.12,50,0,0,82.949,33573.91,27.75291,25.06829,3.854,1.142,1000,
0.9933,0,10,180.327,43908.6,181.327,50,0,0,83.128,33610.2,27.04534,24.82738,4.048,0.854,1000,
0.9934,0,10,178.504,43466.57,179.504,50,0,0,82.567,32875.63,25.58501,25.57165,3.807,0.92,1000,
0.9935,0,10,179.14,43628.91,180.14,50,0,0,82.388,33158.32,26.61971,25.09717,4.236,1.047,1000,
0.9936,0,10,178.625,43510.05,179.625,50,0,0,82.349,33056,28.13622,24.69565,4.228,0.865,1000,
0.9937,0,10,178.066,43376.72,179.066,50,0,0,81.505,32736.9,25.9411,24.91169,3.622,0.915,1000,
0.9938,0,10,178.957,43604.38,179.957,50,0,0,81.592,33214.34,28.82105,26.391,4.456,0.979,1000,
0.9939,0,10,178.178,43419.74,179.178,50,0,0,81.132,32806.9,26.51134,25.58431,3.369,0.958,1000,
0.994,0,10,178.825,43586.82,179.825,50,0,0,80.89,33065.88,27.01076,24.59231,4.69,1.027,1000,
0.9941,0,10,178.664,43552.16,179.664,50,0,0,80.611,33069.46,28.12647,25.15208,4.266,0.875,1000,
0.9942,0,10,176.921,43126.7,177.921,50,0,0,80.506,32363.04,26.60567,24.88766,3.461,1.034,1000,
0.9943,0,10,177.817,43355,178.817,50,0,0,79.921,32677.73,26.51251,25.30361,3.825,0.909,1000,
0.9944,0,10,177.739,43342.7,178.739,50,0,0,79.369,32658.9,26.68306,25.08211,3.722,0.934,1000,
0.9945,0,10,177.128,43199.3,178.128,50,0,0,79.482,32410.36,26.10473,24.73598,4.029,1.1,1000,
0.9946,0,10,177.265,43244.02,178.265,50,0,0,79.075,32529.07,27.41188,24.73835,4.284,0.919,1000,
0.9947,0,10,178.072,43449.19,179.072,50,0,0,78.648,32873.9,28.42412,25.22368,3.897,1.097,1000,
0.9948,0,10,176.602,43088.47,177.602,50,0,0,78.34,32197.33,25.60307,24.5685,4.229,0.979,1000,
0.9949,0,10,177.076,43217.16,178.076,50,0,0,78.046,32393.36,26.13399,24.91914,4.053,0.931,1000,
0.995,0,10,176.547,43089.27,177.547,50,0,0,77.911,32248.61,26.95187,25.03235,4.123,1.017,1000,
0.9951,0,10,176.278,43030.02,177.278,50,0,0,77.256,32176.65,27.3845,25.07916,3.551,0.896,1000,
0.9952,0,10,175.285,42798.83,176.285,50,0,0,76.91,31746.73,25.90363,24.27247,4.828,0.889,1000,
0.9953,0,10,176.163,43021.21,177.163,50,0,0,76.696,32118.89,27.07206,24.81131,4.96,0.995,1000,
0.9954,0,10,174.946,42724.69,175.946,50,0,0,76.376,31662.86,26.58134,24.50334,3.889,1.006,1000,
0.9955,0,10,175.364,42836.39,176.364,50,0,0,76.02,31749.11,25.40663,25.02852,4.194,0.912,1000,
0.9956,0,10,174.525,42637.32,175.525,50,0,0,75.62,31487.87,26.06764,24.90339,3.387,1.022,1000,
0.9957,0,10,175.076,42777.14,176.076,50,0,0,75.729,31672.43,25.89094,25.62675,3.641,0.931,1000,
0.9958,0,10,173.906,42498.57,174.906,50,0,0,74.699,31294.86,26.52279,25.04303,4.347,1.042,1000,
0.9959,0,10,174.984,42774.29,175.984,50,0,0,74.716,31676.24,26.58162,24.22116,4.322,0.944,1000,
0.996,0,10,174.583,42682.73,175.583,50,0,0,74.6,31507.12,26.04635,24.10444,4.568,1.109,1000,
0.9961,0,10,175.452,42902.62,176.452,50,0,0,74.034,31917.08,27.97424,26.21713,3.987,1.073,1000,
0.9962,0,10,173.672,42470.86,174.672,50,0,0,73.376,31230.96,26.85844,24.37931,3.98,0.956,1000,
0.9963,0,10,174.231,42617.73,175.231,50,0,0,73.454,31363.46,25.65574,24.81883,3.978,0.921,1000,
